35e0c202-7d79-40cb-84f1-1b69e6f6be3c,1985-12-17,,999-59-3229,S99985207,X13132187X,Mr.,Ignacio928,Candelaria844,,,M,black,dominican,M,Portsmouth  Saint John Parish  DM,940 Cummerata Pathway Apt 23,Worcester,Massachusetts,01545
ffd2b713-518b-4660-b112-e1ee298ac8d1,1990-10-20,,999-77-6505,S99942717,X36715867X,Mr.,Robbie31,Parisian75,,,M,black,west_indian,M,Cheshire  Massachusetts  US,698 Cummerata Rapid,Boston,Massachusetts,02108
5311bb0b-a96c-4bab-8713-bc9405c420ee,1983-05-03,,999-50-9809,S99995282,X64495409X,Mr.,Sergio619,Dicki44,,,M,white,english,M,Malden  Massachusetts  US,761 Lubowitz Terrace,Malden,Massachusetts,02148
81b0149c-1b72-4e63-9ee4-62e4856fdd5c,1953-07-16,,999-12-3651,S99948962,X57816876X,Ms.,Cindie288,Hyatt152,,,S,white,french,F,Waltham  Massachusetts  US,1066 Weimann Extension,Brookline,Massachusetts,02215
d1f14152-8766-40cc-a53b-9e78aba41bc0,2002-08-02,,999-45-4207,S99955456,,,Hsiu839,Rutherford999,,,,white,french,F,Worcester  Massachusetts  US,622 Breitenberg Club Unit 79,Lowell,Massachusetts,01850
429bcf5e-ec41-4fda-a827-fb3816af2aab,2010-06-27,,999-90-5352,,,,Lee268,Romaguera67,,,,asian,chinese,M,Shanghai  Shanghai Municipality  CN,694 Simonis Mission Suite 23,Newton,Massachusetts,02458
22695091-3545-4eb8-ad62-d73052abeccf,1954-08-29,,999-92-6967,S99956518,X5860367X,Mrs.,Russell422,McDermott739,,Heller342,M,white,irish,F,Wareham  Massachusetts  US,300 Howe Vista Apt 4,Everett,Massachusetts,02148
3508df6f-ed81-4d4a-8c4e-55494674bb49,1947-01-04,,999-52-5654,S99989510,X35344088X,Mr.,Sterling124,Cole117,,,M,white,german,M,Barnstable Town  Massachusetts  US,103 Rodriguez Path,South Hadley,Massachusetts,01075
82ff26a2-470b-4b2e-8725-224a6300f5d6,2003-01-19,,999-79-3599,S99995619,,,Jame231,Dickens475,,,,white,irish,F,Franklin Town  Massachusetts  US,246 Pouros Road,Kingston,Massachusetts,02364
254de4e1-c143-42fb-b0c0-30ef7e58c806,2014-05-03,,999-97-4924,,,,Toya963,Rowe323,,,,white,italian,F,Uxbridge  Massachusetts  US,368 Monahan Boulevard Unit 65,Boston,Massachusetts,02108
